PassengerId,Pclass,Parch,Cabin
1,3,0,
2,1,0,C85
3,3,0,
4,1,0,C123
5,3,0,
6,3,0,
7,1,0,E46
8,3,1,
9,3,2,
10,2,0,
11,3,1,G6
12,1,0,C103
13,3,0,
14,3,5,
15,3,0,
16,2,0,
17,3,1,
18,2,0,
19,3,0,
20,3,0,
21,2,0,
22,2,0,D56
23,3,0,
24,1,0,A6
25,3,1,
26,3,5,
27,3,0,
28,1,2,C23 C25 C27
29,3,0,
30,3,0,
31,1,0,
32,1,0,B78
33,3,0,
34,2,0,
35,1,0,
36,1,0,
37,3,0,
38,3,0,
39,3,0,
40,3,0,
41,3,0,
42,2,0,
43,3,0,
44,2,2,
45,3,0,
46,3,0,
47,3,0,
48,3,0,
49,3,0,
50,3,0,
51,3,1,
52,3,0,
53,1,0,D33
54,2,0,
55,1,1,B30
56,1,0,C52
57,2,0,
58,3,0,
59,2,2,
60,3,2,
61,3,0,
62,1,0,B28
63,1,0,C83
64,3,2,
65,1,0,
66,3,1,
67,2,0,F33
68,3,0,
69,3,2,
70,3,0,
71,2,0,
72,3,2,
73,2,0,
74,3,0,
75,3,0,
76,3,0,F G73
77,3,0,
78,3,0,
79,2,2,
80,3,0,
81,3,0,
82,3,0,
83,3,0,
84,1,0,
85,2,0,
86,3,0,
87,3,3,
88,3,0,
89,1,2,C23 C25 C27
90,3,0,
91,3,0,
92,3,0,
93,1,0,E31
94,3,2,
95,3,0,
96,3,0,
97,1,0,A5
98,1,1,D10 D12
99,2,1,
100,2,0,
101,3,0,
102,3,0,
103,1,1,D26
104,3,0,
105,3,0,
106,3,0,
107,3,0,
108,3,0,
109,3,0,
110,3,0,
111,1,0,C110
112,3,0,
113,3,0,
114,3,0,
115,3,0,
116,3,0,
117,3,0,
118,2,0,
119,1,1,B58 B60
120,3,2,
121,2,0,
122,3,0,
123,2,0,
124,2,0,E101
125,1,1,D26
126,3,0,
127,3,0,
128,3,0,
129,3,1,F E69
130,3,0,
131,3,0,
132,3,0,
133,3,0,
134,2,0,
135,2,0,
136,2,0,
137,1,2,D47
138,1,0,C123
139,3,0,
140,1,0,B86
141,3,2,
142,3,0,
143,3,0,
144,3,0,
145,2,0,
146,2,1,
147,3,0,
148,3,2,
149,2,2,F2
150,2,0,
151,2,0,
152,1,0,C2
153,3,0,
154,3,2,
155,3,0,
156,1,1,
157,3,0,
158,3,0,
159,3,0,
160,3,2,
161,3,1,
162,2,0,
163,3,0,
164,3,0,
165,3,1,
166,3,2,
167,1,1,E33
168,3,4,
169,1,0,
170,3,0,
171,1,0,B19
172,3,1,
173,3,1,
174,3,0,
175,1,0,A7
176,3,1,
177,3,1,
178,1,0,C49
179,2,0,
180,3,0,
181,3,2,
182,2,0,
183,3,2,
184,2,1,F4
185,3,2,
186,1,0,A32
187,3,0,
188,1,0,
189,3,1,
190,3,0,
191,2,0,
192,2,0,
193,3,0,
194,2,1,F2
195,1,0,B4
196,1,0,B80
197,3,0,
198,3,1,
199,3,0,
200,2,0,
201,3,0,
202,3,2,
203,3,0,
204,3,0,
205,3,0,
206,3,1,G6
207,3,0,
208,3,0,
209,3,0,
210,1,0,A31
211,3,0,
212,2,0,
213,3,0,
214,2,0,
215,3,0,
216,1,0,D36
217,3,0,
218,2,0,
219,1,0,D15
220,2,0,
221,3,0,
222,2,0,
223,3,0,
224,3,0,
225,1,0,C93
226,3,0,
227,2,0,
228,3,0,
229,2,0,
230,3,1,
231,1,0,C83
232,3,0,
233,2,0,
234,3,2,
235,2,0,
236,3,0,
237,2,0,
238,2,2,
239,2,0,
240,2,0,
241,3,0,
242,3,0,
243,2,0,
244,3,0,
245,3,0,
246,1,0,C78
247,3,0,
248,2,2,
249,1,1,D35
250,2,0,
251,3,0,
252,3,1,G6
253,1,0,C87
254,3,0,
255,3,2,
256,3,2,
257,1,0,
258,1,0,B77
259,1,0,
260,2,1,
261,3,0,
262,3,2,
263,1,1,E67
264,1,0,B94
265,3,0,
266,2,0,
267,3,1,
268,3,0,
269,1,1,C125
270,1,0,C99
271,1,0,
272,3,0,
273,2,1,
274,1,1,C118
275,3,0,
276,1,0,D7
277,3,0,
278,2,0,
279,3,1,
280,3,1,
281,3,0,
282,3,0,
283,3,0,
284,3,0,
285,1,0,A19
286,3,0,
287,3,0,
288,3,0,
289,2,0,
290,3,0,
291,1,0,
292,1,0,B49
293,2,0,D
294,3,0,
295,3,0,
296,1,0,
297,3,0,
298,1,2,C22 C26
299,1,0,C106
300,1,1,B58 B60
301,3,0,
302,3,0,
303,3,0,
304,2,0,E101
305,3,0,
306,1,2,C22 C26
307,1,0,
308,1,0,C65
309,2,0,
310,1,0,E36
311,1,0,C54
312,1,2,B57 B59 B63 B66
313,2,1,
314,3,0,
315,2,1,
316,3,0,
317,2,0,
318,2,0,
319,1,2,C7
320,1,1,E34
321,3,0,
322,3,0,
323,2,0,
324,2,1,
325,3,2,
326,1,0,C32
327,3,0,
328,2,0,D
329,3,1,
330,1,1,B18
331,3,0,
332,1,0,C124
333,1,1,C91
334,3,0,
335,1,0,
336,3,0,
337,1,0,C2
338,1,0,E40
339,3,0,
340,1,0,T
341,2,1,F2
342,1,2,C23 C25 C27
343,2,0,
344,2,0,
345,2,0,
346,2,0,F33
347,2,0,
348,3,0,
349,3,1,
350,3,0,
351,3,0,
352,1,0,C128
353,3,1,
354,3,0,
355,3,0,
356,3,0,
357,1,1,E33
358,2,0,
359,3,0,
360,3,0,
361,3,4,
362,2,0,
363,3,1,
364,3,0,
365,3,0,
366,3,0,
367,1,0,D37
368,3,0,
369,3,0,
370,1,0,B35
371,1,0,E50
372,3,0,
373,3,0,
374,1,0,
375,3,1,
376,1,0,
377,3,0,
378,1,2,C82
379,3,0,
380,3,0,
381,1,0,
382,3,2,
383,3,0,
384,1,0,
385,3,0,
386,2,0,
387,3,2,
388,2,0,
389,3,0,
390,2,0,
391,1,2,B96 B98
392,3,0,
393,3,0,
394,1,0,D36
395,3,2,G6
396,3,0,
397,3,0,
398,2,0,
399,2,0,
400,2,0,
401,3,0,
402,3,0,
403,3,0,
404,3,0,
405,3,0,
406,2,0,
407,3,0,
408,2,1,
409,3,0,
410,3,1,
411,3,0,
412,3,0,
413,1,0,C78
414,2,0,
415,3,0,
416,3,0,
417,2,1,
418,2,2,
419,2,0,
420,3,2,
421,3,0,
422,3,0,
423,3,0,
424,3,1,
425,3,1,
426,3,0,
427,2,0,
428,2,0,
429,3,0,
430,3,0,E10
431,1,0,C52
432,3,0,
433,2,0,
434,3,0,
435,1,0,E44
436,1,2,B96 B98
437,3,2,
438,2,3,
439,1,4,C23 C25 C27
440,2,0,
441,2,1,
442,3,0,
443,3,0,
444,2,0,
445,3,0,
446,1,2,A34
447,2,1,
448,1,0,
449,3,1,
450,1,0,C104
451,2,2,
452,3,0,
453,1,0,C111
454,1,0,C92
455,3,0,
456,3,0,
457,1,0,E38
458,1,0,D21
459,2,0,
460,3,0,
461,1,0,E12
462,3,0,
463,1,0,E63
464,2,0,
465,3,0,
466,3,0,
467,2,0,
468,1,0,
469,3,0,
470,3,1,
471,3,0,
472,3,0,
473,2,2,
474,2,0,D
475,3,0,
476,1,0,A14
477,2,0,
478,3,0,
479,3,0,
480,3,1,
481,3,2,
482,2,0,
483,3,0,
484,3,0,
485,1,0,B49
486,3,1,
487,1,0,C93
488,1,0,B37
489,3,0,
490,3,1,
491,3,0,
492,3,0,
493,1,0,C30
494,1,0,
495,3,0,
496,3,0,
497,1,0,D20
498,3,0,
499,1,2,C22 C26
500,3,0,
501,3,0,
502,3,0,
503,3,0,
504,3,0,
505,1,0,B79
506,1,0,C65
507,2,2,
508,1,0,
509,3,0,
510,3,0,
511,3,0,
512,3,0,
513,1,0,E25
514,1,0,
515,3,0,
516,1,0,D46
517,2,0,F33
518,3,0,
519,2,0,
520,3,0,
521,1,0,B73
522,3,0,
523,3,0,
524,1,1,B18
525,3,0,
526,3,0,
527,2,0,
528,1,0,C95
529,3,0,
530,2,1,
531,2,1,
532,3,0,
533,3,1,
534,3,2,
535,3,0,
536,2,2,
537,1,0,B38
538,1,0,
539,3,0,
540,1,2,B39
541,1,2,B22
542,3,2,
543,3,2,
544,2,0,
545,1,0,C86
546,1,0,
547,2,0,
548,2,0,
549,3,1,
550,2,1,
551,1,2,C70
552,2,0,
553,3,0,
554,3,0,
555,3,0,
556,1,0,
557,1,0,A16
558,1,0,
559,1,1,E67
560,3,0,
561,3,0,
562,3,0,
563,2,0,
564,3,0,
565,3,0,
566,3,0,
567,3,0,
568,3,4,
569,3,0,
570,3,0,
571,2,0,
572,1,0,C101
573,1,0,E25
574,3,0,
575,3,0,
576,3,0,
577,2,0,
578,1,0,E44
579,3,0,
580,3,0,
581,2,1,
582,1,1,C68
583,2,0,
584,1,0,A10
585,3,0,
586,1,2,E68
587,2,0,
588,1,1,B41
589,3,0,
590,3,0,
591,3,0,
592,1,0,D20
593,3,0,
594,3,2,
595,2,0,
596,3,1,
597,2,0,
598,3,0,
599,3,0,
600,1,0,A20
601,2,1,
602,3,0,
603,1,0,
604,3,0,
605,1,0,
606,3,0,
607,3,0,
608,1,0,
609,2,2,
610,1,0,C125
611,3,5,
612,3,0,
613,3,0,
614,3,0,
615,3,0,
616,2,2,
617,3,1,
618,3,0,
619,2,1,F4
620,2,0,
621,3,0,
622,1,0,D19
623,3,1,
624,3,0,
625,3,0,
626,1,0,D50
627,2,0,
628,1,0,D9
629,3,0,
630,3,0,
631,1,0,A23
632,3,0,
633,1,0,B50
634,1,0,
635,3,2,
636,2,0,
637,3,0,
638,2,1,
639,3,5,
640,3,0,
641,3,0,
642,1,0,B35
643,3,2,
644,3,0,
645,3,1,
646,1,0,D33
647,3,0,
648,1,0,A26
649,3,0,
650,3,0,
651,3,0,
652,2,1,
653,3,0,
654,3,0,
655,3,0,
656,2,0,
657,3,0,
658,3,1,
659,2,0,
660,1,2,D48
661,1,0,
662,3,0,
663,1,0,E58
664,3,0,
665,3,0,
666,2,0,
667,2,0,
668,3,0,
669,3,0,
670,1,0,C126
671,2,1,
672,1,0,B71
673,2,0,
674,2,0,
675,2,0,
676,3,0,
677,3,0,
678,3,0,
679,3,6,
680,1,1,B51 B53 B55
681,3,0,
682,1,0,D49
683,3,0,
684,3,2,
685,2,1,
686,2,2,
687,3,1,
688,3,0,
689,3,0,
690,1,1,B5
691,1,0,B20
692,3,1,
693,3,0,
694,3,0,
695,1,0,
696,2,0,
697,3,0,
698,3,0,
699,1,1,C68
700,3,0,F G63
701,1,0,C62 C64
702,1,0,E24
703,3,1,
704,3,0,
705,3,0,
706,2,0,
707,2,0,
708,1,0,E24
709,1,0,
710,3,1,
711,1,0,C90
712,1,0,C124
713,1,0,C126
714,3,0,
715,2,0,
716,3,0,F G73
717,1,0,C45
718,2,0,E101
719,3,0,
720,3,0,
721,2,1,
722,3,0,
723,2,0,
724,2,0,
725,1,0,E8
726,3,0,
727,2,0,
728,3,0,
729,2,0,
730,3,0,
731,1,0,B5
732,3,0,
733,2,0,
734,2,0,
735,2,0,
736,3,0,
737,3,3,
738,1,0,B101
739,3,0,
740,3,0,
741,1,0,D45
742,1,0,C46
743,1,2,B57 B59 B63 B66
744,3,0,
745,3,0,
746,1,1,B22
747,3,1,
748,2,0,
749,1,0,D30
750,3,0,
751,2,1,
752,3,1,E121
753,3,0,
754,3,0,
755,2,2,
756,2,1,
757,3,0,
758,2,0,
759,3,0,
760,1,0,B77
761,3,0,
762,3,0,
763,3,0,
764,1,2,B96 B98
765,3,0,
766,1,0,D11
767,1,0,
768,3,0,
769,3,0,
770,3,0,
771,3,0,
772,3,0,
773,2,0,E77
774,3,0,
775,2,3,
776,3,0,
777,3,0,F38
778,3,0,
779,3,0,
780,1,1,B3
781,3,0,
782,1,0,B20
783,1,0,D6
784,3,2,
785,3,0,
786,3,0,
787,3,0,
788,3,1,
789,3,2,
790,1,0,B82 B84
791,3,0,
792,2,0,
793,3,2,
794,1,0,
795,3,0,
796,2,0,
797,1,0,D17
798,3,0,
799,3,0,
800,3,1,
801,2,0,
802,2,1,
803,1,2,B96 B98
804,3,1,
805,3,0,
806,3,0,
807,1,0,A36
808,3,0,
809,2,0,
810,1,0,E8
811,3,0,
812,3,0,
813,2,0,
814,3,2,
815,3,0,
816,1,0,B102
817,3,0,
818,2,1,
819,3,0,
820,3,2,
821,1,1,B69
822,3,0,
823,1,0,
824,3,1,E121
825,3,1,
826,3,0,
827,3,0,
828,2,2,
829,3,0,
830,1,0,B28
831,3,0,
832,2,1,
833,3,0,
834,3,0,
835,3,0,
836,1,1,E49
837,3,0,
838,3,0,
839,3,0,
840,1,0,C47
841,3,0,
842,2,0,
843,1,0,
844,3,0,
845,3,0,
846,3,0,
847,3,2,
848,3,0,
849,2,1,
850,1,0,C92
851,3,2,
852,3,0,
853,3,1,
854,1,1,D28
855,2,0,
856,3,1,
857,1,1,
858,1,0,E17
859,3,3,
860,3,0,
861,3,0,
862,2,0,
863,1,0,D17
864,3,2,
865,2,0,
866,2,0,
867,2,0,
868,1,0,A24
869,3,0,
870,3,1,
871,3,0,
872,1,1,D35
873,1,0,B51 B53 B55
874,3,0,
875,2,0,
876,3,0,
877,3,0,
878,3,0,
879,3,0,
880,1,1,C50
881,2,1,
882,3,0,
883,3,0,
884,2,0,
885,3,0,
886,3,5,
887,2,0,
888,1,0,B42
889,3,2,
890,1,0,C148
891,3,0,
